source_file,broker,sheet_name,valuation_date,product_id,association_code,custodian_id,custodian_name,adapter_key,route_source,raw_row_index,instrument_name,instrument_code_raw,instrument_code_std,exchange,asset_type,quantity,unit_cost,cost,market_price,market_value,unrealized_pnl,subject_code,subject_name,suspension_info,review_flag,review_note
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),69,理想汽车－Ｗ,02015,02015.HK,HK,hk_equity,628800.0,96.49,60675526.64,96.52,60693637.25,18110.61,11028101H02015,理想汽车－Ｗ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),70,安踏体育,02020,02020.HK,HK,hk_equity,1411800.0,78.66,111055429.26,83.71,118180860.33,7125431.07,11028101H02020,安踏体育,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),71,申洲国际,02313,02313.HK,HK,hk_equity,65200.0,57.17,3727492.82,57.29,3735120.55,7627.73,11028101H02313,申洲国际,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),72,康方生物－Ｂ,09926,09926.HK,HK,hk_equity,1364000.0,56.35,76865159.77,66.36,90514405.74,13649245.97,11028101H09926,康方生物－Ｂ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),73,阿里巴巴－Ｗ,09988,09988.HK,HK,hk_equity,526900.0,88.65,46710189.29,121.68,64114525.06,17404335.77,11028101H09988,阿里巴巴－Ｗ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),83,惠泰医疗,688617,688617.SH,SH,a_share,5290.0,366.29,1937679.98,393.0,2078970.0,141290.02,1102C101688617,惠泰医疗,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),30,招商银行,600036,600036.SH,SH,a_share,1.0,42.39,635877.0,43.26,648900.0,13023.0,1102.01.01.600036 SH,招商银行,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),31,万华化学,600309,600309.SH,SH,a_share,1.0,71.29,206743.24,68.53,198737.0,-8006.24,1102.01.01.600309 SH,万华化学,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),32,江苏银行,600919,600919.SH,SH,a_share,1.0,9.47,449029.0,9.55,452670.0,3641.0,1102.01.01.600919 SH,江苏银行,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),33,赛轮轮胎,601058,601058.SH,SH,a_share,1.0,14.01,89657.21,14.81,94784.0,5126.79,1102.01.01.601058 SH,赛轮轮胎,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),34,赛力斯,601127,601127.SH,SH,a_share,1.0,123.78,24755.0,126.9,25380.0,625.0,1102.01.01.601127 SH,赛力斯,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),35,博迁新材,605376,605376.SH,SH,a_share,1.0,31.66,310224.0,38.35,375830.0,65606.0,1102.01.01.605376 SH,博迁新材,正常交易,,
