证券投资基金估值表,,,,,,,,,,,
上海和谐汇一资产管理有限公司___PRODUCT_002___专用表,,,,,,,,,,,
估值日期：20250327,,,,,,,单位净值：0.7807,,,单位：元,
科目代码,科目名称,数量,单位成本,成本,成本占净值%,市价,市值,市值占净值%,估值增值,停牌信息,
3102C102000265,华泰收益互换HTSC-21078-HKD,,,"-19,075,340.67",-1.4755,,"-19,075,340.67",-1.4755,,,
3102C199,公允价值变动,,,"-7,962,085.40",-0.6159,,"-7,962,085.40",-0.6159,,,
3102C199000008,收益互换SAC-107352-HKD,,,"-8,612,377.91",-0.6662,,"-8,612,377.91",-0.6662,,,
3102C199000009,中信收益互换ZXSAC-107352,,,"41,942.73",0.0032,,"41,942.73",0.0032,,,
3102C199000263,收益互换ZXSAC-107352-USD,,,"11,959,588.75",0.9251,,"11,959,588.75",0.9251,,,
3102C199000265,华泰收益互换HTSC-21078-HKD,,,"-11,351,238.97",-0.878,,"-11,351,238.97",-0.878,,,
,,,,,,,,,,,
证券投资合计:,占总资产比(%),77.6924,,"991,687,466.06",76.7061,,"1,017,832,676.62",78.7284,"26,145,210.56",,
其中股票投资:,,,,"991,687,466.06",76.7061,,"1,017,832,676.62",78.7284,"26,145,210.56",,
其中债券投资:,,,,,,,,,,,
其中基金投资:,,,,,,,,,,,
其中权证投资:,,,,,,,,,,,
,,,,,,,,,,,
今日可用头寸,,,,"723,317.92",0.0559,,"723,317.92",0.0559,,,
,,,,,,,,,,,
实收资本金额,,"1,655,930,131.20",1.00,"1,655,930,131.20",128.0847,,"1,655,930,131.20",128.0847,,,
实收资本金额:LY489APRODUCT_002A,,"1,490,847,077.95",1.00,"1,490,847,077.95",115.3157,,"1,490,847,077.95",115.3157,,,
实收资本金额:LY489BPRODUCT_002B,,"165,083,053.25",1.00,"165,083,053.25",12.769,,"165,083,053.25",12.769,,,
实收资本,,"1,655,930,131.20",,"1,655,930,131.20",128.0847,,"1,655,930,131.20",128.0847,,,
实收资本:LY489APRODUCT_002A,,"1,490,847,077.95",,"1,490,847,077.95",115.3157,,"1,490,847,077.95",115.3157,,,
实收资本:LY489BPRODUCT_002B,,"165,083,053.25",,"165,083,053.25",12.769,,"165,083,053.25",12.769,,,
损益平准金_未实现:,,,,,,,,,,,
损益平准金_未实现:LY489APRODUCT_002A,,,,,,,,,,,
损益平准金_未实现:LY489BPRODUCT_002B,,,,,,,,,,,
损益平准金_已实现:,,,,,,,,,,,
